"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)"
"Noordoostpolder";"GM0171    ";"Noordoostpolder                                   ";"GG2209    ";"GGD Flevoland                                     "
"Noordwijk";"GM0575    ";"Noordwijk                                         ";"GG4506    ";"GGD Hollands-Midden                               "
"Nuenen, Gerwen en Nederwetten";"GM0820    ";"Nuenen, Gerwen en Nederwetten                     ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Nunspeet";"GM0302    ";"Nunspeet                                          ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Oegstgeest";"GM0579    ";"Oegstgeest                                        ";"GG4506    ";"GGD Hollands-Midden                               "
"Oirschot";"GM0823    ";"Oirschot                                          ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Oisterwijk";"GM0824    ";"Oisterwijk                                        ";"GG5406    ";"GGD Hart voor Brabant                             "
"Oldambt";"GM1895    ";"Oldambt                                           ";"GG0111    ";"GGD Groningen                                     "
"Oldebroek";"GM0269    ";"Oldebroek                                         ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Oldenzaal";"GM0173    ";"Oldenzaal                                         ";"GG1106    ";"GGD Twente                                        "
"Olst-Wijhe";"GM1773    ";"Olst-Wijhe                                        ";"GG1009    ";"GGD IJsselland                                    "
"Ommen";"GM0175    ";"Ommen                                             ";"GG1009    ";"GGD IJsselland                                    "
"Oost Gelre";"GM1586    ";"Oost Gelre                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Oosterhout";"GM0826    ";"Oosterhout                                        ";"GG5206    ";"GGD West-Brabant                                  "
"Ooststellingwerf";"GM0085    ";"Ooststellingwerf                                  ";"GG7206    ";"GGD Fryslân                                       "
"Oostzaan";"GM0431    ";"Oostzaan                                          ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Opmeer";"GM0432    ";"Opmeer                                            ";"GG2707    ";"GGD Hollands-Noorden                              "
"Opsterland";"GM0086    ";"Opsterland                                        ";"GG7206    ";"GGD Fryslân                                       "
"Oss";"GM0828    ";"Oss                                               ";"GG5406    ";"GGD Hart voor Brabant                             "
"Oude IJsselstreek";"GM1509    ";"Oude IJsselstreek                                 ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Ouder-Amstel";"GM0437    ";"Ouder-Amstel                                      ";"GG3406    ";"GGD Amsterdam                                     "
"Oudewater";"GM0589    ";"Oudewater                                         ";"GG2514    ";"GGD Regio Utrecht                                 "
"Overbetuwe";"GM1734    ";"Overbetuwe                                        ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Papendrecht";"GM0590    ";"Papendrecht                                       ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     "
"Peel en Maas";"GM1894    ";"Peel en Maas                                      ";"GG6011    ";"GGD Limburg-Noord                                 "
"Pekela";"GM0765    ";"Pekela                                            ";"GG0111    ";"GGD Groningen                                     "
"Pijnacker-Nootdorp";"GM1926    ";"Pijnacker-Nootdorp                                ";"GG7014    ";"GGD Haaglanden                                    "
"Purmerend";"GM0439    ";"Purmerend                                         ";"GG7306    ";"GGD Zaanstreek/Waterland                          "
"Putten";"GM0273    ";"Putten                                            ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     "
"Raalte";"GM0177    ";"Raalte                                            ";"GG1009    ";"GGD IJsselland                                    "
"Reimerswaal";"GM0703    ";"Reimerswaal                                       ";"GG5006    ";"GGD Zeeland                                       "
"Renkum";"GM0274    ";"Renkum                                            ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Renswoude";"GM0339    ";"Renswoude                                         ";"GG2514    ";"GGD Regio Utrecht                                 "
"Reusel-De Mierden";"GM1667    ";"Reusel-De Mierden                                 ";"GG5608    ";"GGD Brabant-Zuidoost                              "
"Rheden";"GM0275    ";"Rheden                                            ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden"
"Rhenen";"GM0340    ";"Rhenen                                            ";"GG2514    ";"GGD Regio Utrecht                                 "
